UniqueID,ItemName,ExpirationDate,RemainingServings2672,Lamb,2023-03-01 00:00:00,14
3332,Falafel,2023-03-01 00:00:00,1
998,Pork,2023-03-01 00:00:00,3
1942,SmallTomatoes,2023-03-01 00:00:00,19
4924,PickledOnions,2023-03-01 00:00:00,20
4775,Cucumbers,2023-03-01 00:00:00,13
9924,Cauliflower,2023-03-01 00:00:00,20
175,JalapenoFeta,2023-03-01 00:00:00,3
7844,Spinach,2023-03-02 00:00:00,50
9414,Lamb,2023-03-02 00:00:00,16
7930,Couscous,2023-03-02 00:00:00,16
5536,Onions,2023-03-02 00:00:00,20
6224,Hummus,2023-03-02 00:00:00,20
9397,DillYogurt,2023-03-02 00:00:00,16
470,CupWater,2028-02-18 00:00:00,500
7787,ShreddedLettuce,2023-03-03 00:00:00,-1
151,Chicken,2023-03-03 00:00:00,200
7177,Lamb,2023-03-03 00:00:00,16
7842,Beef,2023-03-03 00:00:00,16
9848,PitaChips,2023-03-03 00:00:00,20
9083,GreekVinaigrette,2023-03-03 00:00:00,16
1072,Straw,2028-02-19 00:00:00,500
877,CupLid,2028-02-19 00:00:00,500
1699,Lamb,2023-03-05 00:00:00,16
7089,Falafel,2023-03-05 00:00:00,16
8292,Pork,2023-03-05 00:00:00,16
1674,VegetableMedley,2023-03-05 00:00:00,20
3809,Peppers,2023-03-05 00:00:00,20
400,RedCabbageColeslaw,2023-03-05 00:00:00,20
9454,Hummus,2023-03-05 00:00:00,20
18,Tzatziki,2023-03-05 00:00:00,16
789,HarrisaYogurt,2023-03-05 00:00:00,16
2411,CupDrink,2028-02-21 00:00:00,100
5041,Chicken,2023-03-06 00:00:00,200
4382,Lamb,2023-03-06 00:00:00,16
9947,BigTomatoes,2023-03-06 00:00:00,20
5330,Olives,2023-03-06 00:00:00,20
6098,SpicyHummus,2023-03-06 00:00:00,16
